Date,Company Name,Company Ticker,ceoRating,ceoRatingSize,upMgmtRating,upMgmtRatingSize,overallRating,overallRatingSize,Price,PriceMA10,PriceMA14
2022/7/31,3M,MMM,0.648063,228,3.33708,1620,3.88553,2083,141.784943,135.6602503029653,134.4585241873227
2022/7/24,3M,MMM,0.648482,228,3.33735,1620,3.88577,2083,132.757584,130.34772792428097,130.1865843993562
2022/6/19,3M,MMM,0.646462,228,3.33006,1620,3.89783,2083,128.521057,135.66704811889892,137.51704280915098
2022/5/22,3M,MMM,0.64689,228,3.31701,1620,3.88842,2083,142.368958,145.70767444746787,145.8021680398703
2022/4/17,3M,MMM,0.655399,228,3.31956,1620,3.8828,2083,144.423370,146.0084739094303,146.04586888178858
2022/3/20,3M,MMM,0.662633,228,3.31333,1620,3.87878,2083,145.344513,143.1035375533517,143.5576986058871
2022/2/20,3M,MMM,0.675459,228,3.30933,1620,3.8699,2083,144.658554,152.1594350674732,154.26554276351123
2022/1/23,3M,MMM,0.676621,228,3.27966,1620,3.87157,2083,167.566635,171.6396822524718,171.91282521836658
2021/12/19,3M,MMM,0.699959,228,3.3028,1620,3.89207,2083,169.604797,170.57881771813365,170.67614992776836
2021/11/21,3M,MMM,0.703025,228,3.31215,1620,3.9045,2083,173.952896,174.9761638438029,174.8884465149385
2021/10/24,3M,MMM,0.760959,228,3.31725,1620,3.89117,2083,174.060150,173.9118631620455,173.68602949313322
2021/9/19,3M,MMM,0.761257,228,3.3239,1620,3.89974,2083,174.724426,178.55806218264013,180.01024671859543
2021/8/22,3M,MMM,0.778621,228,3.32165,1620,3.90941,2083,186.922134,189.310055618845,189.61681570198553
2021/7/18,3M,MMM,0.792511,228,3.35009,1620,3.93209,2083,190.483841,191.09196952851295,190.7223041421144
2021/6/20,3M,MMM,0.782624,228,3.40119,1620,3.95596,2083,183.060150,189.85756930268346,190.7268678263603
2021/5/23,3M,MMM,0.789793,228,3.39441,1620,3.98907,2083,192.862839,192.4514512758331,192.01350825450572
2021/4/18,3M,MMM,0.782569,228,3.361,1620,3.99221,2083,188.343079,186.30666085318143,185.41183337831157
2021/3/21,3M,MMM,0.80892,228,3.36519,1620,3.97997,2083,178.981857,176.7252911666703,175.43726487195573
2021/2/21,3M,MMM,0.812759,228,3.35608,1620,3.9783,2083,167.439224,168.16766527317623,167.70543236904138
2021/1/24,3M,MMM,0.823342,228,3.3485,1620,3.97954,2083,159.015488,159.00274598526772,159.34257890750706
2020/12/27,3M,MMM,0.813376,228,3.29738,1620,3.92564,2083,164.170547,164.2857687058845,163.99461511925873
2020/11/29,3M,MMM,0.825458,228,3.30273,1620,3.93433,2083,166.399979,162.98762263461646,161.60915033144207
2020/10/25,3M,MMM,0.824477,228,3.3002,1620,3.93398,2083,158.360519,157.6793106389295,157.00801737898627
2020/9/27,3M,MMM,0.826665,228,3.26204,1620,3.90674,2083,149.472549,152.27558042157656,152.72576891741002
2022/7/31,Abiomed,ABMD,0.698844,70,3.43818,89,3.5754,122,293.010010,281.2384338060386,277.36577550339433
2022/7/24,Abiomed,ABMD,0.699485,70,3.4394,89,3.57683,122,281.700012,270.56357488137513,267.3171704998373
2022/6/19,Abiomed,ABMD,0.673495,70,3.36344,89,3.52578,122,229.789993,240.91109464316585,244.5429653671767
2022/5/22,Abiomed,ABMD,0.6612,70,3.34548,89,3.58962,122,235.750000,247.94132369704283,253.37169056388865
2022/4/17,Abiomed,ABMD,0.652444,70,3.34569,89,3.57166,122,306.079987,310.61570804610915,311.9135090287159
2022/3/20,Abiomed,ABMD,0.663754,70,3.38327,89,3.53296,122,304.329987,299.026400276357,299.63581810867936
2022/2/20,Abiomed,ABMD,0.626702,70,3.29519,89,3.49015,122,298.380005,303.9618418738239,303.65455801428436
2022/1/23,Abiomed,ABMD,0.737462,70,3.20789,89,3.56956,122,304.570007,310.24801055339793,314.6972229294843
2021/12/19,Abiomed,ABMD,0.864834,70,3.1864,89,3.61259,122,315.549988,314.1799308169248,316.1792372062853
2021/11/21,Abiomed,ABMD,0.864834,70,3.40059,89,3.73128,122,339.989990,348.74350623430786,349.72630152298666
2021/10/24,Abiomed,ABMD,0.864834,70,3.48756,89,3.72786,122,352.179993,346.04648683237144,344.64194262775874
2021/9/19,Abiomed,ABMD,0.877754,70,3.48941,89,3.81223,122,355.000000,358.60478677816485,358.1881274991428
2021/8/22,Abiomed,ABMD,0.84828,70,3.34081,89,3.74421,122,348.109985,332.8175323618789,331.63485056279643
2021/7/18,Abiomed,ABMD,0.836241,70,3.30619,89,3.73667,122,317.980011,317.71160203209615,317.16142311496725
2021/6/20,Abiomed,ABMD,0.840989,70,3.3184,89,3.75005,122,318.570007,302.7182753761075,299.5383212716199
2021/5/23,Abiomed,ABMD,0.817264,70,3.28653,89,3.65721,122,280.000000,279.5027748086633,284.2717074342526
2021/4/18,Abiomed,ABMD,0.76736,70,3.1355,89,3.53018,122,330.529999,327.8576329624045,324.8682239797052
2021/3/21,Abiomed,ABMD,0.748881,70,3.14629,89,3.51702,122,299.809998,303.4431974831073,305.22962625850164
2021/2/21,Abiomed,ABMD,0.728325,70,3.10609,89,3.45664,122,331.970001,326.35729124849905,327.3643230451295
2021/1/24,Abiomed,ABMD,0.761025,70,3.4417,89,3.79063,122,347.899994,335.0742210857704,330.27449818114644
2020/12/27,Abiomed,ABMD,0.820551,70,3.47014,89,3.87597,122,303.410004,290.2795845648693,286.207485398809
2020/11/29,Abiomed,ABMD,0.825748,70,3.48884,89,3.84703,122,271.899994,268.3904629443436,268.7947406372375
2020/10/25,Abiomed,ABMD,0.82193,70,3.44882,89,3.82377,122,281.420013,278.091559696648,277.2920577030992
2020/9/27,Abiomed,ABMD,0.827676,70,3.43179,89,3.76676,122,266.440002,269.27451921136725,272.6818600403498
2022/7/31,Accenture,ACN,0.937568,27786,3.69617,48503,4.06381,65895,306.260010,291.65606594816563,288.8216776114894
2022/7/24,Accenture,ACN,0.93761,27786,3.69619,48503,4.06395,65895,288.010010,279.8703945142854,279.34548289705634
2022/6/19,Accenture,ACN,0.940544,27786,3.68511,48503,4.05783,65895,274.403961,282.2947448894557,284.665574958504
2022/5/22,Accenture,ACN,0.940924,27786,3.67598,48503,4.05623,65895,275.669434,282.9120681736235,286.7086134289287
2022/4/17,Accenture,ACN,0.940332,27786,3.66335,48503,4.05449,65895,318.337677,328.4810767148354,328.82157024352557
2022/3/20,Accenture,ACN,0.94148,27786,3.65392,48503,4.05039,65895,321.843475,314.9642668283208,315.1185266824809
